DOI,Query,PII,Title,Journal
10.1016/j.conbuildmat.2012.04.027, ,None,Durability of mortar using waste glass powder as cement replacement,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.054, ,None,"Comparing a natural pozzolan, zeolite, to metakaolin and silica fume in terms of their effect on the durability characteristics of concrete: A laboratory study",Construction and Building Materials
10.1016/j.conbuildmat.2012.11.074, ,None,Effect of silica fume and steel fiber on the mechanical properties of the concretes produced with cold bonded fly ash aggregates,Construction and Building Materials
10.1016/j.conbuildmat.2012.02.019, ,None,Study of self consolidating concretes stability during their placement,Construction and Building Materials
10.1016/j.conbuildmat.2012.08.015, ,None,Performance of Warm Mix Asphalt containing Sasobit®: State-of-the-art,Construction and Building Materials
10.1016/j.conbuildmat.2011.07.017, ,None,Computational investigation on mass diffusivity in Portland cement paste based on X-ray computed microtomography (μCT) image,Construction and Building Materials
10.1016/s0950-0618(14)01254-9, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2013.12.018, ,None,"Structural utilization of wooden beams as anti-seismic and stabilising techniques in stone masonry in Qasr el-Bint, Petra, Jordan",Construction and Building Materials
10.1016/j.conbuildmat.2013.05.033, ,None,The effect of using natural zeolite on the properties and hydration characteristics of blended cements,Construction and Building Materials
10.1016/j.conbuildmat.2011.08.066, ,None,Shrinkage and cracking studies of high performance concrete for bridge decks,Construction and Building Materials
10.1016/j.conbuildmat.2014.05.051, ,None,Assessment of early-age autogenous shrinkage strains in concrete using bentonite clay as internal curing technique,Construction and Building Materials
10.1016/j.conbuildmat.2011.03.033, ,None,Evaluation of the mechanical properties of self compacting concrete using current estimating models,Construction and Building Materials
10.1016/j.conbuildmat.2013.05.036, ,None,Ground penetrating radar investigation of the bell tower of the church of the Holy Sepulchre,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.071, ,None,Simple tools for achieving self-compacting ability of concrete according to the nature of the limestone filler,Construction and Building Materials
10.1016/j.conbuildmat.2011.04.022, ,None,Potential of recycled fine aggregates powder as filler in asphalt mixture,Construction and Building Materials
10.1016/j.conbuildmat.2014.03.026, ,None,Recycling of washed olive pomace ash for fired clay brick manufacturing,Construction and Building Materials
10.1016/j.conbuildmat.2014.05.037, ,None,Influence of curing methods and concentration of NaOH on strength of the synthesized alkaline activated  ground slag-ultrafine palm oil fuel ash mortar/concrete,Construction and Building Materials
10.1016/s0950-0618(13)00158-x, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.037, ,None,Editorial,Construction and Building Materials
10.1016/j.conbuildmat.2012.02.041, ,None,A semi-destructive tension method for evaluating the strength and stiffness of clear wood zones of structural timber elements in-service,Construction and Building Materials
10.1016/j.conbuildmat.2014.01.096, ,None,Modelling of fracture strength of functionally graded geopolymer,Construction and Building Materials
10.1016/j.conbuildmat.2014.04.108, ,None,Effects of polymer additives on bituminous mixtures,Construction and Building Materials
10.1016/j.conbuildmat.2013.05.014, ,None,Dynamic testing of hot mix asphalt for moisture susceptibility assessment,Construction and Building Materials
10.1016/j.conbuildmat.2014.07.046, ,None,Estimation and assessment of high temperature mix performance grade for select bio-based WMA additives,Construction and Building Materials
10.1016/j.conbuildmat.2013.12.042, ,None,Evaluating fatigue behavior of asphalt mixtures under alternate tension–compression loading model using new alternate biaxial splitting method,Construction and Building Materials
10.1016/j.conbuildmat.2013.05.011, ,None,Physico-mechanical characteristics of blended white cement pastes containing thermally activated ultrafine nano clays,Construction and Building Materials
10.1016/j.conbuildmat.2013.08.037, ,None,Mechanical characterization of asphalt tear-off roofing shingles in Hot Mix Asphalt,Construction and Building Materials
10.1016/j.conbuildmat.2012.06.003, ,None,Effect of load cycling on the phase transformations in Ni–Ti wires for civil engineering applications,Construction and Building Materials
10.1016/j.conbuildmat.2011.06.005, ,None,Experimental analysis of reinforced concrete block masonry spandrels using pre-fabricated planar trussed bars,Construction and Building Materials
